Platform,Campaign_Name,Date,Region,Device_Type,Audience_Segment,Campaign_Objective,Impressions,Reach,Frequency,Clicks,CTR(%),CPC($),CPM($),Spend($),Engagements,Engagement_Rate(%),Cost_per_Engagement($),Conversions,Conversion_Rate(%),Avg_Order_Value($),Revenue($),Profit($),Profit_Margin,ROAS,CAC($),ROI(%),Revenue_per_Dollar
Meta,Summer_Sale,2025-06-01,India,Desktop,Returning Customers,Awareness,285530,233817,1.22,3083,1.08,1.13,12.2,3483.79,5214,1.83,0.67,705,22.87,44.77,31562.85,15150.17,0.48,9.06,4.94,805.99,9.06
Meta,Summer_Sale,2025-06-02,Europe,Tablet,Returning Customers,Retention,85350,54293,1.57,7826,9.17,0.79,72.44,6182.54,8230,9.64,0.75,290,3.71,49.59,14381.1,5321.01,0.37,2.33,21.32,132.61,2.33
Meta,Summer_Sale,2025-06-03,India,Tablet,New Customers,Retention,250615,161245,1.55,2352,0.94,0.51,4.79,1199.52,7368,2.94,0.16,1135,48.26,26.29,29839.15,8653.35,0.29,24.88,1.06,2387.59,24.88
Meta,Summer_Sale,2025-06-04,Europe,Tablet,Returning Customers,Retention,100475,71530,1.4,7325,7.29,0.57,41.56,4175.25,11431,11.38,0.37,244,3.33,28.3,6905.2,3590.7,0.52,1.65,17.11,65.38,1.65
Meta,Summer_Sale,2025-06-05,India,Mobile,New Customers,Retention,256430,231886,1.11,1935,0.75,0.43,3.24,832.05,2648,1.03,0.31,714,36.9,26.18,18692.52,6355.46,0.34,22.47,1.17,2146.56,22.47
Meta,Summer_Sale,2025-06-06,Europe,Mobile,High-Value Customers,Conversions,113429,109293,1.04,6030,5.32,1.45,77.08,8743.5,5900,5.2,1.48,131,2.17,38.14,4996.34,2048.5,0.41,0.57,66.74,-42.86,0.57
Meta,Summer_Sale,2025-06-07,Asia-Pacific,Desktop,Returning Customers,Awareness,174563,118285,1.48,7492,4.29,0.82,35.19,6143.44,5405,3.1,1.14,493,6.58,20.07,9894.51,2572.57,0.26,1.61,12.46,61.06,1.61
Meta,Summer_Sale,2025-06-08,Asia-Pacific,Desktop,New Customers,Conversions,136372,116926,1.17,7991,5.86,1.03,60.35,8230.73,2982,2.19,2.76,1005,12.58,44.53,44752.65,21033.75,0.47,5.44,8.19,443.73,5.44
Meta,Summer_Sale,2025-06-09,Europe,Desktop,High-Value Customers,Traffic,170037,120519,1.41,6325,3.72,0.6,22.32,3795.0,3004,1.77,1.26,720,11.38,30.35,21852.0,8522.28,0.39,5.76,5.27,475.81,5.76
Meta,Summer_Sale,2025-06-10,India,Desktop,New Customers,Retention,226889,178028,1.27,3057,1.35,1.29,17.38,3943.53,11071,4.88,0.36,708,23.16,22.67,16050.36,4975.61,0.31,4.07,5.57,307.0,4.07
Meta,Summer_Sale,2025-06-11,Europe,Mobile,Returning Customers,Traffic,266096,217949,1.22,8140,3.06,1.07,32.73,8709.8,6078,2.28,1.43,472,5.8,33.52,15821.44,5062.86,0.32,1.82,18.45,81.65,1.82
